Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Cloners),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Attachment,Custom field (Actual end),Custom field (Actual start),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Impact),Custom field (Issue color),Custom field (Rank),Custom field (Request Type),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field ([CHART] Date of First Response),Status Category
Verify that the page is directed to first page when first page  button is pressed,RET-77,10097,Test,Done,RET,Retail,software,Harsha Khandelwal,5fff0cf1a9d03001072191e5,,Medium,,Harsha Khandelwal,5fff0cf1a9d03001072191e5,Harsha Khandelwal,5fff0cf1a9d03001072191e5,Harsha Khandelwal,5fff0cf1a9d03001072191e5,08/Sep/21 9:10 AM,09/Sep/21 3:50 AM,09/Sep/21 3:50 AM,,,0,,,Harsha Khandelwal,5fff0cf1a9d03001072191e5,,,,,,,,,,,RET-76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000kv:,,RET Sprint 1,,,,,,,,Done
Verify that the page is directed to last page when last page  button is pressed,RET-76,10096,Test,Done,RET,Retail,software,Harsha Khandelwal,5fff0cf1a9d03001072191e5,,Medium,,Harsha Khandelwal,5fff0cf1a9d03001072191e5,Harsha Khandelwal,5fff0cf1a9d03001072191e5,Harsha Khandelwal,5fff0cf1a9d03001072191e5,08/Sep/21 9:09 AM,08/Sep/21 9:12 AM,08/Sep/21 9:09 AM,,,0,,,Harsha Khandelwal,5fff0cf1a9d03001072191e5,,,,,,,,,,,RET-52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000kn:,,RET Sprint 1,,,,,,,,Done
Verify that  if we give same name to 2 folder then it should give a warning,RET-75,10095,Test,Done,RET,Retail,software,Harsha Khandelwal,5fff0cf1a9d03001072191e5,,Medium,,Harsha Khandelwal,5fff0cf1a9d03001072191e5,Harsha Khandelwal,5fff0cf1a9d03001072191e5,Harsha Khandelwal,5fff0cf1a9d03001072191e5,08/Sep/21 8:44 AM,08/Sep/21 8:49 AM,08/Sep/21 8:44 AM,,,0,,,Harsha Khandelwal,5fff0cf1a9d03001072191e5,,,,,,,,,,,RET-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000kf:,,RET Sprint 1,,,,,,,,Done
Verify that  clicking the 'new folder' icon in the image manager page it creates a new folder or not,RET-74,10094,Test,Done,RET,Retail,software,Harsha Khandelwal,5fff0cf1a9d03001072191e5,,Medium,,Harsha Khandelwal,5fff0cf1a9d03001072191e5,Harsha Khandelwal,5fff0cf1a9d03001072191e5,Harsha Khandelwal,5fff0cf1a9d03001072191e5,08/Sep/21 8:40 AM,08/Sep/21 8:49 AM,08/Sep/21 8:49 AM,,,0,,,Harsha Khandelwal,5fff0cf1a9d03001072191e5,,,,,,,,,,,RET-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000k7:,,RET Sprint 1,,,,,,,,Done
Verify that  clicking the refresh icon on the image manager page it refreshes the page or not,RET-73,10093,Test,Done,RET,Retail,software,Harsha Khandelwal,5fff0cf1a9d03001072191e5,,Medium,,Harsha Khandelwal,5fff0cf1a9d03001072191e5,Harsha Khandelwal,5fff0cf1a9d03001072191e5,Harsha Khandelwal,5fff0cf1a9d03001072191e5,08/Sep/21 6:44 AM,08/Sep/21 6:49 AM,08/Sep/21 6:44 AM,,,0,,,Harsha Khandelwal,5fff0cf1a9d03001072191e5,,,,,,,,,,,RET-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000jz:,,RET Sprint 1,,,,,,,,Done
Verify that after clicking the image field admin could see edit and delete option in the edt page,RET-72,10092,Test,Done,RET,Retail,software,Harsha Khandelwal,5fff0cf1a9d03001072191e5,,Medium,,Harsha Khandelwal,5fff0cf1a9d03001072191e5,Harsha Khandelwal,5fff0cf1a9d03001072191e5,Harsha Khandelwal,5fff0cf1a9d03001072191e5,08/Sep/21 6:35 AM,08/Sep/21 6:49 AM,08/Sep/21 6:35 AM,,,0,,,Harsha Khandelwal,5fff0cf1a9d03001072191e5,,,,,,,,,,,RET-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000jr:,,RET Sprint 1,,,,,,,,Done
verify 'image' field is present or not in the edit option,RET-71,10091,Test,Done,RET,Retail,software,Harsha Khandelwal,5fff0cf1a9d03001072191e5,,Medium,,Harsha Khandelwal,5fff0cf1a9d03001072191e5,Harsha Khandelwal,5fff0cf1a9d03001072191e5,Harsha Khandelwal,5fff0cf1a9d03001072191e5,08/Sep/21 6:34 AM,08/Sep/21 6:49 AM,08/Sep/21 6:34 AM,,,0,,,Harsha Khandelwal,5fff0cf1a9d03001072191e5,,,,,,,,,,,RET-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000jj:,,RET Sprint 1,,,,,,,,Done
Verify the admin is able to edit the image in the edt option,RET-70,10090,Test,Done,RET,Retail,software,Harsha Khandelwal,5fff0cf1a9d03001072191e5,,Medium,,Harsha Khandelwal,5fff0cf1a9d03001072191e5,Harsha Khandelwal,5fff0cf1a9d03001072191e5,Harsha Khandelwal,5fff0cf1a9d03001072191e5,08/Sep/21 6:23 AM,08/Sep/21 6:49 AM,08/Sep/21 6:23 AM,,,0,,,Harsha Khandelwal,5fff0cf1a9d03001072191e5,,,,,,,,,,,RET-37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000jb:,,RET Sprint 1,,,,,,,,Done
Verify that the check box of stores is checked to default or not in the edit option,RET-69,10089,Test,Done,RET,Retail,software,Harsha Khandelwal,5fff0cf1a9d03001072191e5,,Medium,,Harsha Khandelwal,5fff0cf1a9d03001072191e5,Harsha Khandelwal,5fff0cf1a9d03001072191e5,Harsha Khandelwal,5fff0cf1a9d03001072191e5,08/Sep/21 6:16 AM,08/Sep/21 6:49 AM,08/Sep/21 6:17 AM,,,0,,,Harsha Khandelwal,5fff0cf1a9d03001072191e5,,,,,,,,,,,RET-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000j3:,,RET Sprint 1,,,,,,,,Done
Verify the Manufacturer name text field is present or not in the edit field,RET-68,10088,Test,Done,RET,Retail,software,Harsha Khandelwal,5fff0cf1a9d03001072191e5,,Medium,,Harsha Khandelwal,5fff0cf1a9d03001072191e5,Harsha Khandelwal,5fff0cf1a9d03001072191e5,Harsha Khandelwal,5fff0cf1a9d03001072191e5,08/Sep/21 6:15 AM,08/Sep/21 6:49 AM,08/Sep/21 6:15 AM,,,0,,,Harsha Khandelwal,5fff0cf1a9d03001072191e5,,,,,,,,,,,RET-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000iv:,,RET Sprint 1,,,,,,,,Done
